Order ID,Product ID,Location ID,Sales Person ID,Customer ID,Order Date,Quantity,Price
OID10001,PID2071,A152,EMP1009,C1499,23-09-2019,1,136
OID10002,PID2053,A139,EMP1007,C1359,07-02-2019,1,596
OID10005,PID2030,A121,EMP1003,C1220,27-06-2019,1,1899
OID10007,PID2001,A122,EMP1003,C1368,12-01-2019,4,951
OID10009,PID2082,A101,EMP1029,C1764,28-07-2019,1,1103
OID10011,PID2004,A156,EMP1007,C1348,13-04-2019,3,1278
OID10017,PID2088,A163,EMP1032,C1619,08-12-2019,1,603
OID10022,PID2077,A171,EMP1005,C1723,03-09-2019,2,530
OID10023,PID2005,A164,EMP1021,C1713,28-05-2019,4,684
OID10024,PID2059,A104,EMP1036,C1673,14-01-2019,3,1494
OID10025,PID2047,A170,EMP1015,C1753,05-09-2019,1,290
OID10034,PID2099,A103,EMP1029,C1299,30-05-2019,1,1367
OID10038,PID2098,A143,EMP1039,C1674,19-04-2019,1,1178
OID10040,PID2053,A122,EMP1040,C1301,24-02-2019,4,596
OID10043,PID2068,A119,EMP1024,C1641,04-06-2019,4,1500
OID10044,PID2001,A120,EMP1038,C1604,20-09-2019,2,951
OID10045,PID2058,A161,EMP1028,C1419,12-03-2019,2,2257
OID10046,PID2010,A161,EMP1010,C1207,27-06-2019,4,1812
OID10050,PID2004,A172,EMP1003,C1012,20-07-2019,1,1278
OID10053,PID2030,A116,EMP1021,C1364,07-12-2019,3,1899
OID10054,PID2095,A151,EMP1012,C1105,16-09-2019,1,1743
OID10055,PID2098,A172,EMP1015,C1791,01-08-2019,3,1178
OID10060,PID2065,A150,EMP1044,C1723,13-08-2019,1,2396
OID10068,PID2058,A107,EMP1012,C1767,29-03-2019,1,2257
OID10079,PID2043,A172,EMP1024,C1217,19-12-2019,1,545
OID10080,PID2009,A129,EMP1029,C1550,30-11-2019,3,584
OID10081,PID2056,A120,EMP1008,C1749,04-12-2019,1,1635
OID10083,PID2092,A112,EMP1002,C1257,26-04-2019,3,1639
OID10085,PID2002,A130,EMP1004,C1043,16-05-2019,3,847
OID10087,PID2092,A152,EMP1009,C1357,26-08-2019,3,1639
OID10090,PID2050,A146,EMP1001,C1463,24-01-2019,3,2391
OID10093,PID2035,A113,EMP1044,C1758,02-06-2019,4,458
OID10094,PID2040,A143,EMP1016,C1780,22-10-2019,4,1889
OID10095,PID2027,A105,EMP1039,C1007,10-02-2019,1,2497
OID10101,PID2036,A128,EMP1042,C1030,14-10-2019,1,1582
OID10103,PID2015,A121,EMP1035,C1614,11-09-2019,3,637
OID10104,PID2047,A168,EMP1023,C1446,04-09-2019,3,290
OID10105,PID2025,A146,EMP1015,C1607,08-04-2019,2,667
OID10108,PID2015,A131,EMP1029,C1660,02-12-2019,1,637
OID10113,PID2010,A167,EMP1007,C1471,16-05-2019,3,1812
OID10117,PID2060,A140,EMP1031,C1436,10-05-2019,3,1467
OID10120,PID2021,A131,EMP1009,C1756,12-09-2019,1,217
OID10125,PID2000,A137,EMP1016,C1541,21-04-2019,2,2241
OID10128,PID2054,A126,EMP1029,C1347,15-02-2019,1,127
OID10129,PID2083,A129,EMP1026,C1013,27-05-2019,1,2141
OID10131,PID2019,A119,EMP1013,C1704,28-11-2019,1,800
OID10139,PID2009,A104,EMP1027,C1221,23-01-2019,2,584
OID10142,PID2046,A128,EMP1028,C1794,08-02-2019,4,2410
OID10143,PID2049,A127,EMP1035,C1258,12-03-2019,1,826
OID10146,PID2009,A135,EMP1018,C1633,08-07-2019,1,584
OID10149,PID2093,A119,EMP1007,C1666,07-08-2019,3,112
OID10154,PID2075,A140,EMP1033,C1407,06-07-2019,1,400
OID10160,PID2032,A128,EMP1014,C1293,15-12-2019,2,1967
